molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"Tiliroside",4,0,0,0,0,14,2,-2,594.528,6.494,751.223,88.817,367.827,294.579,0.000,1521.521,6.000,14.050,0.0277156,0.0458124,0.8516243,48.561,18.200,34.067,25.571,0.411,-2.987,-6.720,-5.338,3.220,-3.661,1.001,-5.917,8.919,0.861,7,-0.439,1,0.000,0.000,0.000,228.759,13,3,28,0,28,5,43,2,0.001
"Tiliroside",4,0,0,0,0,14,2,-2,594.528,6.497,751.877,88.953,367.706,295.218,0.000,1521.414,6.000,14.050,0.0277407,0.0457726,0.8508442,48.563,18.205,34.065,25.576,0.410,-2.995,-6.720,-5.353,3.228,-3.667,1.004,-5.912,8.919,0.860,7,-0.441,1,0.000,0.000,0.000,228.765,13,3,28,0,28,5,43,2,0.001
"Oroxin A",0,0,0,0,0,9,1,-2,432.383,8.338,671.941,115.030,295.510,261.401,0.000,1216.751,5.000,12.250,0.0571436,0.0407652,0.8202921,39.258,14.586,28.278,22.528,-0.163,-3.138,-4.092,-5.686,15.616,-2.907,5.519,-5.181,8.778,0.770,6,-0.664,2,34.396,0.000,0.000,176.042,10,1,22,0,22,5,31,1,0.002
"Noricaritin",0,0,0,0,0,8,0,-2,372.374,7.679,616.211,173.335,240.074,202.801,0.000,1116.623,4.000,5.250,0.0528034,0.0170396,0.8447086,35.333,12.629,21.336,13.480,2.155,-3.940,-5.372,-5.012,52.394,-2.162,20.419,-4.462,8.615,0.555,6,0.115,3,70.337,0.000,0.000,134.833,7,0,16,0,16,0,27,0,0.001
"Noricaritin",0,0,0,0,0,8,0,-2,372.374,7.679,616.211,173.335,240.074,202.801,0.000,1116.623,4.000,5.250,0.0528059,0.0170396,0.8447086,35.333,12.629,21.336,13.480,2.155,-3.940,-5.372,-5.012,52.394,-2.162,20.419,-4.462,8.615,0.555,6,0.115,3,70.337,0.000,0.000,134.833,7,0,16,0,16,0,27,0,0.001
"3,3',4',5,6,7,8-Heptamethoxyflavone; 3-M",0,0,0,0,0,7,0,-1,432.426,5.887,690.158,553.257,36.921,99.979,0.000,1280.810,0.000,7.750,0.0270549,0.0000000,0.8264307,41.564,11.075,17.543,8.401,3.738,-4.098,-5.621,-4.817,4423.646,-0.219,2468.097,-1.176,8.694,0.862,7,-0.034,3,100.000,0.000,0.000,80.972,9,0,16,0,16,0,31,1,2.302
"Didymin",4,0,0,0,0,13,2,-2,594.568,4.147,806.772,321.946,300.461,184.366,0.000,1584.225,6.000,19.300,0.0108541,0.0585979,0.8146273,50.660,17.617,36.785,29.889,-0.832,-2.731,-4.363,-5.411,14.016,-3.238,4.910,-5.159,9.188,0.688,10,-1.065,1,3.720,0.000,0.000,215.286,14,3,28,0,28,12,42,2,0.008
"Mosloflavone",0,0,0,0,0,3,0,0,298.295,6.921,545.806,174.759,89.600,281.446,0.000,934.872,0.000,3.750,0.0512339,0.0000000,0.8471522,32.021,9.475,13.034,6.588,3.277,-4.108,-4.627,-5.347,1400.297,-0.450,711.864,-1.891,8.901,0.785,3,0.201,3,100.000,0.000,0.000,67.463,5,0,16,0,16,0,22,0,0.299
"Demethylwedelolactone",0,0,0,0,0,4,0,-2,300.224,8.584,485.826,0.000,263.676,222.150,0.000,820.556,4.000,6.000,0.0898042,0.0247002,0.8724815,26.238,10.178,19.354,15.079,0.058,-2.493,-3.841,-4.655,31.294,-1.987,11.698,-5.212,8.502,1.076,5,-0.443,2,54.049,0.000,0.000,135.044,7,0,17,0,17,0,22,0,0.006
"Demethylwedelolactone",0,0,0,0,0,4,0,-2,300.224,8.584,485.826,0.000,263.676,222.150,0.000,820.556,4.000,6.000,0.0898027,0.0247002,0.8724815,26.238,10.178,19.354,15.079,0.058,-2.493,-3.841,-4.655,31.294,-1.987,11.698,-5.212,8.502,1.076,5,-0.443,2,54.049,0.000,0.000,135.044,7,0,17,0,17,0,22,0,0.006
"Demethylwedelolactone",0,0,0,0,0,4,0,-2,300.224,8.584,485.826,0.000,263.676,222.150,0.000,820.556,4.000,6.000,0.0898042,0.0247002,0.8724815,26.238,10.178,19.354,15.079,0.058,-2.493,-3.841,-4.655,31.294,-1.987,11.698,-5.212,8.502,1.076,5,-0.443,2,54.049,0.000,0.000,135.044,7,0,17,0,17,0,22,0,0.006
"Demethylwedelolactone",0,0,0,0,0,4,0,-2,300.224,8.584,485.826,0.000,263.676,222.150,0.000,820.556,4.000,6.000,0.0898000,0.0247002,0.8724815,26.238,10.178,19.354,15.079,0.058,-2.493,-3.841,-4.655,31.294,-1.987,11.698,-5.212,8.502,1.076,5,-0.443,2,54.049,0.000,0.000,135.044,7,0,17,0,17,0,22,0,0.006
"Demethylwedelolactone",0,0,0,0,0,4,0,-2,300.224,8.584,485.826,0.000,263.676,222.150,0.000,820.556,4.000,6.000,0.0897989,0.0247002,0.8724815,26.238,10.178,19.354,15.079,0.058,-2.493,-3.841,-4.655,31.294,-1.987,11.698,-5.212,8.502,1.076,5,-0.443,2,54.049,0.000,0.000,135.044,7,0,17,0,17,0,22,0,0.006
"Luteolin 5-Glucoside",3,0,0,0,0,10,1,-2,448.382,6.769,692.930,111.326,359.274,222.331,0.000,1241.687,7.000,14.000,0.0369026,0.0534549,0.8062761,39.241,15.466,32.016,27.179,-1.376,-2.922,-3.681,-5.727,3.881,-3.724,1.225,-6.398,8.875,0.858,7,-0.922,1,3.510,0.000,0.000,199.737,11,2,22,0,22,5,32,2,0.000
"Luteolin 5-Glucoside",3,0,0,0,0,10,1,-2,448.382,6.769,692.930,111.326,359.274,222.331,0.000,1241.687,7.000,14.000,0.0369035,0.0534549,0.8062761,39.241,15.466,32.016,27.179,-1.376,-2.922,-3.681,-5.727,3.881,-3.724,1.225,-6.398,8.875,0.858,7,-0.922,1,3.510,0.000,0.000,199.737,11,2,22,0,22,5,32,2,0.000
"5-Methyl-7-Methoxyisoflavone",0,0,0,0,0,2,0,1,266.296,2.602,512.925,167.583,27.377,317.965,0.000,875.425,0.000,3.250,0.0077337,0.0000000,0.8628278,30.633,8.773,11.500,6.063,3.606,-3.910,-4.180,-5.268,5448.603,0.198,3091.627,-0.712,9.297,0.507,2,0.205,3,100.000,0.000,0.000,41.119,3,0,16,0,16,0,20,0,6.362
"Isoquercitrin",4,0,0,0,0,11,1,-2,464.382,9.237,662.616,92.299,381.997,188.319,0.000,1230.155,7.000,13.750,0.0693562,0.0549022,0.8379341,37.812,15.252,31.976,26.562,-1.463,-2.460,-4.032,-5.052,2.363,-3.727,0.717,-6.840,8.875,0.632,8,-0.868,1,0.000,0.000,0.000,219.830,12,2,22,0,22,5,33,2,0.000
"Isoquercitrin",4,0,0,0,0,11,1,-2,464.382,9.237,662.616,92.299,381.997,188.319,0.000,1230.155,7.000,13.750,0.0693555,0.0549022,0.8379341,37.812,15.252,31.976,26.562,-1.463,-2.460,-4.032,-5.052,2.363,-3.727,0.717,-6.840,8.875,0.632,8,-0.868,1,0.000,0.000,0.000,219.830,12,2,22,0,22,5,33,2,0.000
