title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"Phlorizin",424,Done,0.719,-4.97312,"glide-grid_Sa3ANT_avrg",-5.16812,-0.684853,-0.190832,-0,-0.433573,-32.9421,-17.2622,0.512828,-0.135257,-67.7932,-50.2043,6.29734
"Phloretin",425,Done,0.172,-5.53859,"glide-grid_Sa3ANT_avrg",-5.93649,-0.436535,-0.902408,-0,-1.54595,-18.4654,-18.3602,0.672566,-0.0468639,-56.9887,-36.8256,5.15441
"Phloretin",426,Done,0.219,-5.42174,"glide-grid_Sa3ANT_avrg",-5.81964,-0.440253,-0.927929,-0,-1.54595,-19.2496,-17.1157,0.672566,-0.0482394,-54.926,-36.3653,7.06418
"Phloretin",427,Done,0.218,-5.24644,"glide-grid_Sa3ANT_avrg",-5.64434,-0.374258,-0.941897,-0,-1.54595,-17.831,-16.7502,0.672566,-0.050733,-52.7208,-34.5811,4.18169
"92775",428,Done,0.094,-4.93684,"glide-grid_Sa3ANT_avrg",-4.93684,-0.488343,-0.0533862,-0,-1.55282,-28.1176,-10.4864,0.169221,-0.0326708,-51.3941,-38.604,1.01276
"5281946",429,Done,0.172,-3.90228,"glide-grid_Sa3ANT_avrg",-3.93338,-0.519754,-0.245332,-0,-1.47093,-28.9476,-3.16185,0.224293,0,-36.9986,-32.1095,6.68889
"5281946",430,Done,0.156,-3.90228,"glide-grid_Sa3ANT_avrg",-3.93338,-0.519754,-0.245332,-0,-1.47093,-28.9476,-3.16185,0.224293,0,-36.9986,-32.1095,6.68889
"5,7-Dimethoxyflavone",431,Done,0.11,-3.35446,"glide-grid_Sa3ANT_avrg",-3.35446,-0.794966,-0.0633086,-0,-1.57365,-14.8286,-2.72092,0.227026,0,-17.2394,-17.5495,6.06701
"6-Demethoxytangeretin",432,Done,0.14,-2.48379,"glide-grid_Sa3ANT_avrg",-2.48379,-0.0764286,0,-0,-1.07494,-28.9114,-0.32428,0.161788,0,-30.8924,-29.2356,5.94797
"Baicalin methyl ester",433,Done,0.266,-3.62445,"glide-grid_Sa3ANT_avrg",-3.62445,-0.288776,0,-0,-0.380616,-37.9861,-9.27505,0.379852,-0.0443494,-54.8763,-47.2611,6.63219
"5280699",434,Done,0.172,-2.33557,"glide-grid_Sa3ANT_avrg",-2.33557,-0.340058,-0.141641,-0,-0.952399,2.44523,-7.80964,0.147716,0,2.24756,-5.36441,15.6667
"Cyanidin-3-O-galactoside (chloride)",435,Done,0.328,-5.58363,"glide-grid_Sa3ANT_avrg",-5.66843,-0.0934703,-0.0307625,-0,-0.345103,-31.1112,-25.476,0.277862,-0.1,-81.716,-56.5872,9.50226
"Cyanidin-3-O-galactoside (chloride)",436,Done,0.328,-5.58363,"glide-grid_Sa3ANT_avrg",-5.66843,-0.0934703,-0.0307625,-0,-0.345103,-31.1112,-25.476,0.277862,-0.1,-81.716,-56.5872,9.50226
"Cyanidin-3-O-galactoside (chloride)",437,Done,0.328,-5.58363,"glide-grid_Sa3ANT_avrg",-5.66843,-0.0934703,-0.0307625,-0,-0.345103,-31.1112,-25.476,0.277862,-0.1,-81.716,-56.5872,9.50226
"Dihydrorotenone",438,Done,0.078,-2.54646,"glide-grid_Sa3ANT_avrg",-2.54646,-0.096555,0,-0,-0.706138,-29.4143,-1.52381,0,-0.0444753,-32.4381,-30.9381,6.91731
"Glabrol",439,Done,0.172,-2.57818,"glide-grid_Sa3ANT_avrg",-2.57818,-0.258842,0,-0,-0.73304,-30.7852,-4.52117,0.633746,-0.00260866,-40.0823,-35.3064,3.26567
"Glabrone",440,Done,0.125,-3.67513,"glide-grid_Sa3ANT_avrg",-3.67513,0,-0.16,-0,-1.11588,-26.6259,-8.23266,0.166943,0,-42.3395,-34.8585,3.86257
"Glabrone",441,Done,0.094,-3.67513,"glide-grid_Sa3ANT_avrg",-3.67513,0,-0.16,-0,-1.11588,-26.6259,-8.23266,0.166943,0,-42.3395,-34.8585,3.86257
"Isosakuranin",442,Done,0.25,-3.44057,"glide-grid_Sa3ANT_avrg",-3.44057,-0.245912,0,-0,-0.351682,-31.2653,-10.2956,0.3985,-0.133867,-45.0976,-41.5609,13.6602
"Isovitexin 2''-O-arabinoside",443,"GRID-ENERGY MIN FAILED",0.203,,,,,,,,,,,,,,
"Isovitexin 2''-O-arabinoside",444,"GRID-ENERGY MIN FAILED",0.234,,,,,,,,,,,,,,
"Isovitexin 2''-O-arabinoside",445,"GRID-ENERGY MIN FAILED",0.266,,,,,,,,,,,,,,
"Kakkalide",446,Done,0.531,-5.38656,"glide-grid_Sa3ANT_avrg",-5.38656,-0.224321,-0.0562592,-0,0,-27.2423,-25.5162,0.217572,-0.134009,-66.9833,-52.7585,17.4604
"Kuwanon G",447,"NO POSES STORED FOR LIGAND",0.563,,,,,,,,,,,,,,
"Kuwanon G",448,"NO POSES STORED FOR LIGAND",0.468,,,,,,,,,,,,,,
"Kuwanon G",449,"NO POSES STORED FOR LIGAND",0.516,,,,,,,,,,,,,,
"Kuwanon G",450,"NO POSES STORED FOR LIGAND",0.578,,,,,,,,,,,,,,
"Licoflavone A",451,"GRID-ENERGY MIN FAILED",0.141,,,,,,,,,,,,,,
"Licoflavone B",452,Done,0.125,-3.04713,"glide-grid_Sa3ANT_avrg",-3.04713,-0.44307,0,-0,-0.746785,-35.219,-4.90637,0.639636,0,-47.6028,-40.1254,1.72161
"Licoflavone C",453,Done,0.234,-3.74212,"glide-grid_Sa3ANT_avrg",-3.75842,-0.125706,-0.169539,-0,-1.10213,-24.3386,-10.9311,0.495554,0,-44.9205,-35.2697,1.20676
"Licoflavone C",454,Done,0.25,-3.7691,"glide-grid_Sa3ANT_avrg",-3.7854,-0.124478,-0.170974,-0,-1.10213,-24.3302,-11.1124,0.495554,0,-45.1725,-35.4426,1.16496
"Lonicerin",455,Done,0.578,-5.86245,"glide-grid_Sa3ANT_avrg",-5.86245,-0.501576,0,-0,-0.5,-19.5521,-31.2523,0.170694,-0.0539622,-58.4249,-50.8044,24.6974
"Mauritianin",456,"NO POSES STORED FOR LIGAND",0.985,,,,,,,,,,,,,,
"Mauritianin",457,"NO POSES STORED FOR LIGAND",0.875,,,,,,,,,,,,,,
"Meloside A",458,"GRID-ENERGY MIN FAILED",0.531,,,,,,,,,,,,,,
"Meloside A",459,"GRID-ENERGY MIN FAILED",0.469,,,,,,,,,,,,,,
"Meloside A",460,"GRID-ENERGY MIN FAILED",0.531,,,,,,,,,,,,,,
"Negletein",461,Done,0.172,-4.84726,"glide-grid_Sa3ANT_avrg",-4.84726,-0.374531,-0.296199,-0,-1.47093,-30.3223,-9.4252,0.224293,0,-46.1807,-39.7475,11.8914
"Neodiosmin",462,Done,0.5,-5.03474,"glide-grid_Sa3ANT_avrg",-5.03474,-0.215751,0,-0,0,-27.9237,-24.1818,0.217572,-0.013106,-66.8067,-52.1054,11.7932
"Neoisoastilbin",463,Done,0.422,-5.04053,"glide-grid_Sa3ANT_avrg",-5.04053,-0.167093,-0.179915,-0,-0.363095,-27.9507,-21.324,0.296499,-0.0307856,-62.2227,-49.2747,7.98657
"Neoisoastilbin",464,Done,0.343,-4.95981,"glide-grid_Sa3ANT_avrg",-4.95981,-0.163319,-0.179385,-0,-0.35995,-27.338,-21.0456,0.296499,-0.0299162,-61.1763,-48.3836,7.79523
"Neoisoastilbin",465,Done,0.375,-4.93666,"glide-grid_Sa3ANT_avrg",-4.93666,-0.160341,-0.176664,-0,-0.356648,-27.3322,-20.9646,0.296499,-0.0282037,-61.1303,-48.2968,7.53153
"Neosmitilbin",466,Done,0.297,-4.36723,"glide-grid_Sa3ANT_avrg",-4.36723,-0.522266,-0.136167,-0,-0.338231,2.22687e-05,-22.696,0.207549,-0.173714,-24.9842,-22.696,13.3468
"Neosmitilbin",467,Done,0.313,-4.36723,"glide-grid_Sa3ANT_avrg",-4.36723,-0.522266,-0.136167,-0,-0.338231,2.22687e-05,-22.696,0.207549,-0.173714,-24.9842,-22.696,13.3468
"Neosmitilbin",468,Done,0.312,-4.36723,"glide-grid_Sa3ANT_avrg",-4.36723,-0.522266,-0.136167,-0,-0.338231,2.22687e-05,-22.696,0.207549,-0.173714,-24.9842,-22.696,13.3468
"Nepitrin",469,Done,0.328,-3.14298,"glide-grid_Sa3ANT_avrg",-3.14298,-0.190241,0,-0,-0.147253,-36.4127,-8.75644,0.354162,-0.0255425,-49.7753,-45.1691,9.87794
"Panasenoside",470,"NO POSES STORED FOR LIGAND",0.782,,,,,,,,,,,,,,
"Panasenoside",471,"NO POSES STORED FOR LIGAND",0.797,,,,,,,,,,,,,,
"Pinocembrin",472,"GRID-ENERGY MIN FAILED",0.531,,,,,,,,,,,,,,
"Pinocembrin",473,"GRID-ENERGY MIN FAILED",0.359,,,,,,,,,,,,,,
"Pinocembrin",474,"GRID-ENERGY MIN FAILED",0.375,,,,,,,,,,,,,,
"Pinocembrin",475,"GRID-ENERGY MIN FAILED",0.469,,,,,,,,,,,,,,
"Pinocembrin",476,"GRID-ENERGY MIN FAILED",0.468,,,,,,,,,,,,,,
"Pinocembrin",477,"GRID-ENERGY MIN FAILED",0.344,,,,,,,,,,,,,,
"Pinocembrin",478,"GRID-ENERGY MIN FAILED",0.391,,,,,,,,,,,,,,
